screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
DreamalityEnt,United States,3356025237,Twitter Web Client,1,False,en,"[{'text': 'SupportIndieFilm', 'indices': [50, 67]}, {'text': 'Film', 'indices': [68, 73]}, {'text': 'TV', 'indices': [74, 77]}, {'text': 'Video', 'indices': [78, 84]}, {'text': 'Movies', 'indices': [85, 92]}, {'text': 'IndieFilm', 'indices': [93, 103]}, {'text': 'Filmmaking', 'indices': [104, 115]}]",2019-07-04 20:06:26,THE ASCENT (2019) Trailer https://t.co/162K1RsVLT making… https://t.co/yrlDuSUWBr,"['SupportIndieFilm', 'Film', 'TV', 'Video', 'Movies', 'IndieFilm', 'Filmmaking']",False,,81,True,0,
DreamalityEnt,United States,3356025237,Twitter Web Client,1,False,en,"[{'text': 'SupportIndieFilm', 'indices': [55, 72]}, {'text': 'Film', 'indices': [73, 78]}, {'text': 'TV', 'indices': [79, 82]}, {'text': 'Movies', 'indices': [83, 90]}, {'text': 'IndieFilm', 'indices': [91, 101]}, {'text': 'Filmmaking', 'indices': [102, 113]}]",2019-07-04 20:06:09,MY LITTLE DEMON (2019) Trailer https://t.co/GWWkGaEfjx making… https://t.co/6alK0c2Rls,"['SupportIndieFilm', 'Film', 'TV', 'Movies', 'IndieFilm', 'Filmmaking']",False,,86,True,0,
Crossroad_Pics,UK,2346316639,Twitter for Android,0,False,en,"[{'text': 'film', 'indices': [15, 20]}]",2019-07-04 20:05:33,"A I have the absolute delight to have been working on for 2 years now is coming, and you can also be a part of it. Come…",['film'],True,mel3182,120,False,0,
THMasalladeLoki,unknown,951067249481265152,Twitter Web App,2,False,en,"[{'text': 'AVENGERS', 'indices': [0, 9]}, {'text': 'tomhiddleston', 'indices': [79, 93]}]",2019-07-04 20:05:27,‘The @Avengers Assembled’ 4K Steelbooks! https://t.co/9BeWEu6OQC / ‘The @Avengers Assemb… https://t.co/LHZ4NbRM4L,"['AVENGERS', 'tomhiddleston']",False,,113,True,0,
AlbertossyE,"Los Angeles, CA",710562956950446081,Twitter for Android,2,False,en,"[{'text': 'actor', 'indices': [41, 47]}, {'text': 'film', 'indices': [48, 53]}, {'text': 'television', 'indices': [54, 65]}, {'text': 'dance', 'indices': [66, 72]}, {'text': 'imdb', 'indices': [73, 78]}, {'text': 'movie', 'indices': [79, 85]}, {'text': 'theatre', 'indices': [86, 94]}, {'text': 'sagaftra', 'indices': [95, 104]}, {'text': 'life', 'indices': [105, 110]}]",2019-07-04 20:04:13,Wishing all a happy and safe 4th of July https://t.co/n66oESyHJk,"['actor', 'film', 'television', 'dance', 'imdb', 'movie', 'theatre', 'sagaftra', 'life']",False,,64,True,0,
usmcaaron,"St. Chuck, MO",66268408,Twitter for Android,0,False,en,"[{'text': 'ContestAlert', 'indices': [38, 51]}, {'text': 'SeanSCunningham', 'indices': [71, 87]}]",2019-07-04 20:01:13,ATTENTION CAMPERS: ! We're giving away 's autographed producer's chair from,"['ContestAlert', 'SeanSCunningham', 'LastHouseonthe']",True,12nighthorror,75,False,0,
plantationsda,"400 NW 118th Ave Plantation,FL",843978692258926592,Buffer,0,False,en,"[{'text': 'Freedom', 'indices': [23, 31]}, {'text': 'Fear', 'indices': [79, 84]}]",2019-07-04 20:01:03,You were captivated by You laughed with the Life of Earl. Now there's Join us for the YouTube debut… https://t.co/u2qmjEsMBn,"['Freedom', 'Fear']",False,,124,True,0,
johnnykinch,"London, Notts, Loughborough",869775888,Twitter for Android,0,False,en,"[{'text': 'film', 'indices': [83, 88]}]",2019-07-04 20:00:57,Opportunities still available to be involved in full-length feature @SurveilledMovie A great production TEAM is formin…,['film'],True,RayaFilms,119,False,0,
TheTrinityFG,"Dayton, Ohio",130695155,Hootsuite Inc.,0,False,en,"[{'text': 'film', 'indices': [101, 106]}]",2019-07-04 20:00:56,Big shout out to backer Dan Cone! Thank you for supporting this campaign. https://t.co/CdAMar21WZ https://t.co/PP2dnAddEi,['film'],False,,121,True,0,
magsoriordan,Ireland ,27617946,Twitter for Android,0,False,en,"[{'text': 'Waterford', 'indices': [34, 44]}, {'text': 'Modwords', 'indices': [57, 66]}, {'text': 'SpokenWord', 'indices': [110, 121]}, {'text': 'theatre', 'indices': [122, 130]}, {'text': 'Film', 'indices': [131, 136]}]",2019-07-04 20:00:53,It's July in which means is going to explode all over the city with an…,"['Waterford', 'Modwords', 'SpokenWord', 'theatre', 'Film']",True,MartinaCollend1,71,False,0,
