screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
felipejr1173,unknown,863215775909335040,lucac,0,False,en,"[{'text': 'カメラ好きな人と繋がりたい', 'indices': [35, 49]}, {'text': '写真好きな人と繋がりたい', 'indices': [51, 64]}, {'text': 'ファインダー越しの私の世界ᅠ', 'indices': [66, 81]}, {'text': 'キリトリセカイ', 'indices': [83, 91]}, {'text': 'SnapShot', 'indices': [93, 102]}, {'text': 'camera', 'indices': [103, 110]}, {'text': 'photo', 'indices': [111, 117]}, {'text': 'July', 'indices': [119, 124]}, {'text': 'rain', 'indices': [125, 130]}]",2019-07-04 22:51:58,* July. *,"['カメラ好きな人と繋がりたい', '写真好きな人と繋がりたい', 'ファインダー越しの私の世界ᅠ', 'キリトリセカイ', 'SnapShot', 'camera', 'photo', 'July', 'rain', 'picture']",True,everyday_sm1107,10,False,1,☔
Starship1701dv,"Seattle, WA",2676606169,Twitter for Android,0,False,en,[],2019-07-04 22:51:48,"On set shooting a surprise project to be revealed in August! . , . @mateohair almasalonbeverlyhills @mykemakeupguy",['comedy'],True,JosieDavis,114,False,0,
afriwomencinema,unknown,29717530,Twitter Web Client,0,False,en,"[{'text': 'Senegal', 'indices': [107, 115]}]",2019-07-04 22:51:44,"FROM THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES Senegalese Women in Cinema, Visual Media and Screen Culture https://t.co/IjFWfjMnWq",['Senegal'],False,,130,True,0,
adsausage,London / Los Angeles,14541436,Twitter Web App,1,False,en,[],2019-07-04 22:51:31,"July 1971 //  Who Is Harry Kellerman...?' played the 1971 Venice Film Festival. 

Didn't fare well but @THR called… https://t.co/NWTtThVQM6",[],False,,139,True,0,
afriwomencinema,unknown,29717530,Twitter Web Client,0,False,en,"[{'text': 'Senegal', 'indices': [107, 115]}]",2019-07-04 22:51:26,"FROM THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES Senegalese Women in Cinema, Visual Media and Screen Culture https://t.co/B4zQAv613x",['Senegal'],False,,130,True,0,
jn_author,in your nightmares,1134122174489518085,Twitter for iPad,0,False,en,"[{'text': 'DoomMovie', 'indices': [131, 141]}]",2019-07-04 22:51:10,"🅻🅸🅺🅴 &amp; 🆁🅴🆃🆆🅴🅴🆃 ️ DOOM ANNIHILATION - Official Movie Trailer (2019)  TRAILER: https://t.co/czzkV9fZau ,…",['DoomMovie'],True,MeridiusMarcus,111,True,3,💖 ➡ 🎬
afriwomencinema,unknown,29717530,Twitter Web Client,0,False,en,"[{'text': 'Senegal', 'indices': [107, 115]}]",2019-07-04 22:51:05,"FROM THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES Senegalese Women in Cinema, Visual Media and Screen Culture https://t.co/5vBJDLnK0u",['Senegal'],False,,130,True,0,
CliveSLewis1,Narnia,1137896259182833666,Twitter for Android,0,False,en,"[{'text': 'writing', 'indices': [110, 118]}, {'text': 'film', 'indices': [119, 124]}, {'text': 'acting', 'indices': [125, 132]}]",2019-07-04 22:50:34,"It's with words as with sunbeams. The more they're condensed, the deeper they burn. Southey","['writing', 'film', 'acting', 'amwri']",True,noveliciouss,91,False,0,
TheFranAntonio,unknown,2189658253,Twitter for Android,0,False,en,"[{'text': 'EspressoSeason', 'indices': [77, 92]}]",2019-07-04 22:50:31,"I can't help it , I love trouble ️ . . New Projects. New Music. New Merch.  . .  Domenic Carmi… https://t.co/WyvYR7yNxY",['EspressoSeason'],False,,123,True,4,🖤 ⚠ ☕ 📸
mrwillyadkins,"DeKalb, IL",35855197,Twitter for iPhone,1,False,en,"[{'text': 'movies', 'indices': [80, 87]}, {'text': 'horror', 'indices': [88, 95]}, {'text': 'comedy', 'indices': [96, 103]}, {'text': 'drama', 'indices': [104, 110]}]",2019-07-04 22:50:29,What is your go to film genre? Vote below and reply with you top three films. https://t.co/3QLarkOi8Z,"['movies', 'horror', 'comedy', 'drama']",False,,101,True,0,
